"","year","number_of_death"
"1",1950,0
"2",1951,0
"3",1952,0
"4",1953,0
"5",1954,0
"6",1955,1
"7",1956,1
"8",1957,0
"9",1958,1
"10",1959,0
"11",1960,0
"12",1961,0
"13",1962,0
"14",1963,0
"15",1964,0
"16",1965,0
"17",1966,0
"18",1967,2
"19",1968,0
"20",1969,0
"21",1970,1
"22",1971,0
"23",1972,1
"24",1973,1
"25",1974,1
"26",1975,0
"27",1976,3
"28",1977,1
"29",1978,0
"30",1979,1
"31",1980,3
"32",1981,0
"33",1982,0
"34",1983,1
"35",1984,1
"36",1985,0
"37",1986,1
"38",1987,2
"39",1988,1
"40",1989,0
"41",1990,0
"42",1991,0
"43",1992,3
"44",1993,0
"45",1994,0
"46",1995,2
"47",1996,2
"48",1997,0
"49",1998,4
"50",1999,2
"51",2000,1
"52",2001,1
"53",2002,0
"54",2003,1
"55",2004,0
"56",2005,3
"57",2006,1
"58",2007,1
"59",2008,1
"60",2009,0
"61",2010,2
"62",2011,2
"63",2012,2
"64",2013,0
"65",2014,4
"66",2015,1
"67",2016,1
"68",2017,0
"69",2018,4
"70",2019,1
"71",2020,2
"72",2021,4
"73",2022,2
